"Time (ms)","Recording (a.u.)"
1.160460624E1,1.128027365E-1
1.162544036E1,1.318549067E-1
1.164627448E1,1.473861039E-1
1.166710860E1,1.591890454E-1
1.168794273E1,1.681734920E-1
1.170877685E1,1.740511656E-1
1.172961097E1,1.787536740E-1
1.175044509E1,1.836002171E-1
1.177127922E1,1.887821555E-1
1.179211334E1,1.929964125E-1
1.181294746E1,1.958995312E-1
1.183378158E1,1.959228814E-1
1.185461571E1,1.911361217E-1
1.187544983E1,1.831113994E-1
1.189628395E1,1.724856198E-1
1.191711807E1,1.611018777E-1
1.193795220E1,1.502528489E-1
1.195878632E1,1.391105652E-1
1.197962044E1,1.273205876E-1
1.200045456E1,1.135389954E-1
1.202128869E1,9.733968973E-2
1.204212281E1,7.871907949E-2
1.206295693E1,5.879195780E-2
1.208379105E1,3.900166973E-2
1.210462518E1,2.018989623E-2
1.212545930E1,3.777632955E-3
1.214629342E1,-1.055472251E-2
1.216712754E1,-2.284042165E-2
1.218796167E1,-3.411730006E-2
1.220879579E1,-4.614564404E-2
1.222962991E1,-5.837128311E-2
1.225046403E1,-7.021014392E-2
1.227129816E1,-8.036717772E-2
1.229213228E1,-8.726495504E-2
1.231296640E1,-9.034730494E-2
1.233380052E1,-9.037689865E-2
1.235463465E1,-8.871714771E-2
1.237546877E1,-8.602676541E-2
1.239630289E1,-8.319157362E-2
1.241713701E1,-8.043751866E-2
1.243797114E1,-7.733169198E-2
1.245880526E1,-7.347962260E-2
1.247963938E1,-6.848709285E-2
1.250047350E1,-6.287965924E-2
1.252130763E1,-5.725130439E-2
1.254214175E1,-5.191762373E-2
1.256297587E1,-4.777611792E-2
1.258380999E1,-4.526963830E-2
1.260464412E1,-4.362513125E-2
1.262547824E1,-4.202629626E-2
1.264631236E1,-3.995227814E-2
1.266714648E1,-3.658849001E-2
1.268798061E1,-3.269428015E-2
1.270881473E1,-2.946713194E-2
1.272964885E1,-2.692926303E-2
1.275048297E1,-2.601335943E-2
1.277131710E1,-2.677443996E-2
1.279215122E1,-2.802932635E-2
1.281298534E1,-2.919573896E-2
1.283381946E1,-2.969580516E-2
1.285465359E1,-2.873272076E-2
1.287548771E1,-2.622773498E-2
1.289632183E1,-2.362533845E-2
1.291715595E1,-2.109995298E-2
1.293799008E1,-1.896815002E-2
1.295882420E1,-1.832703874E-2
